,Aveiro,Azores,Beja,Braga,Bragança,Castelo Branco,Coimbra,Évora,Faro,Guarda,Leiria,Lisboa,Madeira,Portalegre,Porto,Santarém,Setúbal,Viana do Castelo,Vila Real,Viseu
2024-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 01:00:00,0.0017061460071467428,0.0017061460071467428,0.0017061460071467428,0.0017061460071467428,0.0017061460071467428,0.0017061460071467428,0.0017061460071467428,0.0017061460071467428,0.0017061460071467428,0.0017061460071467428,0.0017061460071467428,0.0017061460071467428,0.0017061460071467428,0.0017061460071467428,0.0017061460071467428,0.0017061460071467428,0.0017061460071467428,0.0017061460071467428,0.0017061460071467428,0.0017061460071467428
2024-01-01 02:00:00,0.006717896179797691,0.006717896179797691,0.006717896179797691,0.006717896179797691,0.006717896179797691,0.006717896179797691,0.006717896179797691,0.006717896179797691,0.006717896179797691,0.006717896179797691,0.006717896179797691,0.006717896179797691,0.006717896179797691,0.006717896179797691,0.006717896179797691,0.006717896179797691,0.006717896179797691,0.006717896179797691,0.006717896179797691,0.006717896179797691
2024-01-01 03:00:00,0.014707512749300652,0.014707512749300652,0.014707512749300652,0.014707512749300652,0.014707512749300652,0.014707512749300652,0.014707512749300652,0.014707512749300652,0.014707512749300652,0.014707512749300652,0.014707512749300652,0.014707512749300652,0.014707512749300652,0.014707512749300652,0.014707512749300652,0.014707512749300652,0.014707512749300652,0.014707512749300652,0.014707512749300652,0.014707512749300652
2024-01-01 04:00:00,0.025143059579562005,0.025143059579562005,0.025143059579562005,0.025143059579562005,0.025143059579562005,0.025143059579562005,0.025143059579562005,0.025143059579562005,0.025143059579562005,0.025143059579562005,0.025143059579562005,0.025143059579562005,0.025143059579562005,0.025143059579562005,0.025143059579562005,0.025143059579562005,0.025143059579562005,0.025143059579562005,0.025143059579562005,0.025143059579562005
2024-01-01 05:00:00,0.037324130130896166,0.037324130130896166,0.037324130130896166,0.037324130130896166,0.037324130130896166,0.037324130130896166,0.037324130130896166,0.037324130130896166,0.037324130130896166,0.037324130130896166,0.037324130130896166,0.037324130130896166,0.037324130130896166,0.037324130130896166,0.037324130130896166,0.037324130130896166,0.037324130130896166,0.037324130130896166,0.037324130130896166,0.037324130130896166
2024-01-01 06:00:00,0.05042917800671814,0.05042917800671814,0.05042917800671814,0.05042917800671814,0.05042917800671814,0.05042917800671814,0.05042917800671814,0.05042917800671814,0.05042917800671814,0.05042917800671814,0.05042917800671814,0.05042917800671814,0.05042917800671814,0.05042917800671814,0.05042917800671814,0.05042917800671814,0.05042917800671814,0.05042917800671814,0.05042917800671814,0.05042917800671814
2024-01-01 07:00:00,0.06357125191308204,0.06357125191308204,0.06357125191308204,0.06357125191308204,0.06357125191308204,0.06357125191308204,0.06357125191308204,0.06357125191308204,0.06357125191308204,0.06357125191308204,0.06357125191308204,0.06357125191308204,0.06357125191308204,0.06357125191308204,0.06357125191308204,0.06357125191308204,0.06357125191308204,0.06357125191308204,0.06357125191308204,0.06357125191308204
2024-01-01 08:00:00,0.07585835396392861,0.07585835396392861,0.07585835396392861,0.07585835396392861,0.07585835396392861,0.07585835396392861,0.07585835396392861,0.07585835396392861,0.07585835396392861,0.07585835396392861,0.07585835396392861,0.07585835396392861,0.07585835396392861,0.07585835396392861,0.07585835396392861,0.07585835396392861,0.07585835396392861,0.07585835396392861,0.07585835396392861,0.07585835396392861
2024-01-01 09:00:00,0.08645431387051893,0.08645431387051893,0.08645431387051893,0.08645431387051893,0.08645431387051893,0.08645431387051893,0.08645431387051893,0.08645431387051893,0.08645431387051893,0.08645431387051893,0.08645431387051893,0.08645431387051893,0.08645431387051893,0.08645431387051893,0.08645431387051893,0.08645431387051893,0.08645431387051893,0.08645431387051893,0.08645431387051893,0.08645431387051893
